Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Section 1: Typical Glassware / plasticware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnels,"Plastic, Short stem",,,21,front cabinet on right wall,,,,,,,,-,,,,,0,,,,,14,,,,,0,,,,,14,,,,,2,,,,,,,,,,locked,,,3B-L,,24,,,,,,,,,,,,,,,,,,lab stations,13,15,,,,,,
,"Plastic, utility Wide-mouth (powder)",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3B-L,,11,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"Glass, short stem",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,2,,,,,,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"Glass, Long stem",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3B-L,,20,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measuring cups,"glass, for liquid, 4 cups",,,3,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"glass, for liquid, 2 cups",,,9,back cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"Plastic, for liquid, 1000 mL",,,0,,,,1,,,CAB #2,,1,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
Mortar/Pestle Set,"Mortar bowl, clear glass, large",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"Pestle, clear glass, large",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"Mortar bowl, porcelain, small",,,8,middle cabinet on left wall,,,,,,,,-,,,,,0,,,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"Mortar bowl, porcelain, large",,,0,,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,"Pestle, porcelain, small",,,9,middle cabinet on left wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petri Dishes (glass or plastic),Small,,,660,"stockroom, mix of sterile/not",,,,,,B6,,40,plastic,,,,0,,,,,9,,,,,0,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,Large,,,0,,,,,,,B6,,40,plastic,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,X-Large,,,0,,,,,,,B6,,20,plastic,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pipet, Glass, Volumetric",1/2 ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C3-B,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
