Supplies Specific to Life Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scroll Across to find Room #   →→,1107,,,,1109,,,1207,,,,1307,,,,1310 Storeroom,,,,1311,,,,1407,,,,1421,,,
Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Leaf litter bags,,,,30,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
leaf litter kits,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Pondwater Tour kit,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Soil Model sets,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Water ecology set,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grow light,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Tower,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,table-top,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,spare grow-light Bulbs,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
,grow light boxes,,,5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Fast plant wicking set ups,,,,4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Misc. fast plant supplies,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
small potting pots,,,,144,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
medium potting pots,,,,34,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
large potting pots,,,,11,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil auger,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Water depth sampler,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Kits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
synthetic blood typing,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
amino acid kits,,,,32,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
metabolism experiment kits,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
plant cell mobile kit,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
animals cell mobile kit,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
plant chromatography,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Urinalysis kit,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Genetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Trays,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Timer,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Corn,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Simulated Blood Fluids,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Evolution,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Selection Table Cloths,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Paper Dots,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Shell Fossils,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed dichotomous key set,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
leaf dichotomous key set,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
wildflower dichotomous key set,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Insect choice trays,,,,7,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
